url,site_lot_id,actual_bid,opening_date,ending_date,minimal_increment,lot_status,brand,model,year,appraisal_value,location
https://www.lut.com.br//lote/motocicleta-honda-cg/84216,84216,"R$ 1.192,80",04/04/2021,07/05/2021 13:30:00,"R$ 100,00",Fechado,Honda,HONDA CG125,1990,"R$ 1.704,00",SANTA CRUZ DO RIO PARDO/SP
https://www.lut.com.br//lote/motocicleta-yamaha/84007,84007,"R$ 1.123,20",02/04/2021,07/05/2021 13:30:00,"R$ 100,00",Fechado,Yamaha,YAMAHA,fabricação1988,"R$ 1.872,00",CAMPINAS/SP
https://www.lut.com.br//lote/veiculo-volkswagen-gol/84003,84003,"R$ 5.987,40",02/04/2021,07/05/2021 09:30:00,"R$ 200,00",Fechado,Volkswagen,VOLKSWAGEN GOL,Not found,"R$ 9.979,00",SANTO ANDRÉ/SP
https://www.lut.com.br//lote/veiculo-chevrolet-vectra-gls/84432,84432,"R$ 5.036,40",15/04/2021,06/05/2021 11:00:00,"R$ 200,00",Fechado,Chevrolet,VECTRA GLS,1995,"R$ 8.394,00",SERTÃOZINHO/SP
https://www.lut.com.br//lote/veiculo-renault-logan/84428,84428,"R$ 11.964,60",15/04/2021,06/05/2021 10:00:00,"R$ 1.000,00",Fechado,RENAULT,LOGAN,2011,"R$ 19.941,00",CAMPINAS/SP
https://www.lut.com.br//lote/veiculo-fiat-marea-hlx/83995,83995,"R$ 4.500,00",01/04/2021,06/05/2021 09:30:00,"R$ 200,00",Fechado,FIAT,MAREA HLX,1998,"R$ 7.500,00",SÃO JOSÉ DOS CAMPOS/SP
https://www.lut.com.br//lote/veiculo-chevrolet-celta-spirit/83955,83955,"R$ 21.126,00",02/05/2021,05/05/2021 12:00:00,"R$ 1.000,00",Fechado,Chevrolet,CELTA SPIRIT,Not found,"R$ 21.126,00",CAMPINAS/SP
https://www.lut.com.br//lote/veiculo-kia-sportage-lx-offg/83882,83882,"R$ 58.000,00",01/05/2021,04/05/2021 11:00:00,"R$ 2.500,00",Fechado,Kia,KIA SPORTAGE LX2 OFFG4,2013,"R$ 58.000,00",SÃO SEBASTIÃO/SP
https://www.lut.com.br//lote/uma-motocicleta-honda-xr-tornado/83883,83883,"R$ 2.800,00",01/05/2021,04/05/2021 11:00:00,"R$ 150,00",Fechado,Honda,MOTOCICLETA HONDA XR250 TORNADO,fabricação2002,"R$ 2.800,00",ATIBAIA/SP
https://www.lut.com.br//lote/veiculo-fiat-uno-mille/83987,83987,"R$ 8.100,00",30/03/2021,04/05/2021 09:30:00,"R$ 300,00",Fechado,FIAT,/ UNO MILLE,2007,"R$ 13.500,00",ARARAQUARA/SP
